video_id,bracket,native_fps,duration_sec,resolution,codec,source,filename,sha256
ReadySetGo_120fps,120fps,120.0,4.883984,3840x2160,hevc,UVG_Dataset,ReadySetGo_120fps.mp4,ce159936680573ab4fa46b77a684443a9febd83bee4a5aec9f0beaefedeb2d6f
ShakeNDry_120fps,120fps,120.0,2.383984,3840x2160,hevc,UVG_Dataset,ShakeNDry_120fps.mp4,ba1d0ee64dc14e3b337924c779091b24787934984cf9605da1a3c61fa43fddd3
YachtRide_120fps,120fps,120.0,4.883984,3840x2160,hevc,UVG_Dataset,YachtRide_120fps.mp4,2c26b5bd0f7351fb780746e6e784eca8f691273c296731db4dd83bc9e9372b1d
avatar2_hioxQxscwJQ,48-50fps,47.95205479452055,120.628,3840x1590,vp9,YouTube,avatar2_hioxQxscwJQ.webm,1b5851f166cc55bda4b156e7059c516c81b36c3aca5df04a6bf129081887744d
avatar2_nDYSaLQ6X1g,60fps,60.0,164.85,1920x1080,h264,YouTube,avatar2_nDYSaLQ6X1g.mp4,53de380848638b97026b1c9d24841bf1676ad7ff24f24b4282ebd17d55568fd3
avatar2_ty1e4ielQ2w,60fps,59.94005994005994,32.415717,7680x4320,av1,YouTube,avatar2_ty1e4ielQ2w.mp4,ce4c01a192f37b2ea6aabf89d56d155a281a92de8d99f8ad8f4f771e831259f3
avatar_native_5AzuIabVyzw,60fps,60.0,706.6,1920x1080,h264,YouTube,avatar_native_5AzuIabVyzw.mp4,6ac38087aad7309205af5ca1a15ff4869fbd001ced72411360c1d7ae83c40301
avatar_native_5jYnRoYLDXU,60fps,59.94005994005994,179.812967,7680x4320,av1,YouTube,avatar_native_5jYnRoYLDXU.mp4,c3ea19fc3d5e17a100e8e558d0c3cd0217b65cd14c12b4806f9e65ae8f11d0f1
avatar_native_BpPMqVcmQ-s,60fps,60.0,163.983,3840x2076,vp9,YouTube,avatar_native_BpPMqVcmQ-s.webm,85cf93d39a90ce0cae74cc0919e461144d5315b8b1e7fe9c3993042aff626ba3
avatar_native_b-KUwPcx3Tk,60fps,59.94006309148265,148.098,3840x2160,vp9,YouTube,avatar_native_b-KUwPcx3Tk.webm,423e0c6fd5056d884d26c99967216d60936aed39e2f31e088a06a367ff93550d
avatar_native_d7r6TU5U2dU,60fps,59.94005994005994,81.164417,7680x4320,av1,YouTube,avatar_native_d7r6TU5U2dU.mp4,6f9d397db9b3a8d9ee49e2c083dc4ed8777bc5e2f226f09ee098ce576e677eba
avatar_native_ty1e4ielQ2w,60fps,59.94005994005994,32.415717,7680x4320,av1,YouTube,avatar_native_ty1e4ielQ2w.mp4,ce4c01a192f37b2ea6aabf89d56d155a281a92de8d99f8ad8f4f771e831259f3
billylynn_7zCywLzJJs8,60fps,59.94005994005994,260.61035,1920x1038,h264,YouTube,billylynn_7zCywLzJJs8.mp4,4fd5f526b6c159a51949b288e1fe893e2dadebec6d36f277368701ee10875ded
billylynn_EsTp5WYIte0,60fps,59.94005994005994,159.225733,1920x1038,h264,YouTube,billylynn_EsTp5WYIte0.mp4,284161eddc39e70995acfef9b7f32b048df1e97090eae53fc53d48267dfb7116
billylynn_K7SBhdL_ZlE,60fps,59.94005994005994,163.830333,1920x1038,h264,YouTube,billylynn_K7SBhdL_ZlE.mp4,dc4a10df93b1faa108225016f28cb8261576bf121580546ca5effd718c6cdded
billylynn_PNVpk1SpYVw,60fps,59.94005994005994,77.644233,1920x1038,h264,YouTube,billylynn_PNVpk1SpYVw.mp4,140b7c79c2ef8096c9b3fd8fd763eff1705532f2e656315944712e45284e931b
