video_id,bracket,native_fps,duration_sec,resolution,codec,source,filename,sha256
f1_MUURLlVzzGQ,60fps,59.56,120.801,1920x1080,av1,YouTube,f1_MUURLlVzzGQ.mp4,a413113cb008dfd9c3b9bb7be3c015ea0daa9feeacadfff4601fd0212ce36777
flowers-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,flowers-120fps.mp4,f079005dd42391a68c84fabab52c127c2567540daf107abddfde10fcfccf4637
gemini_ElAGnbsQPVE,60fps,59.94005994005994,85.752333,1920x1080,h264,YouTube,gemini_ElAGnbsQPVE.mp4,31c4dfdf7101c238410356da6e272bd86cb03e80a744cdc76747797019e62f42
gemini_FbObGvyuuKA,60fps,60.0,743.533333,1920x1080,h264,YouTube,gemini_FbObGvyuuKA.mp4,1b7e74ca9bbbe04993b4d283dc9d12c4f72e182aedd235855fdce77be40586fb
gemini_r4ofjAZw16w,60fps,60.0,131.85,1920x1080,h264,YouTube,gemini_r4ofjAZw16w.mp4,2a7550e81d1e45986425de408d18bd74cdbe914a81c9b37d43b882582e50df65
gemini_rX0xwmrIKHs,60fps,60.0,56.516667,1920x804,h264,YouTube,gemini_rX0xwmrIKHs.mp4,a71a12984df2c30c49aff3c26c0198363c449825f36c883778ed013d9f33a4d1
gemini_t-R8PIADl7s,60fps,59.94005994005994,597.079817,1920x1080,h264,YouTube,gemini_t-R8PIADl7s.mp4,c565ffbbd975d796a300e1e36506b3204ad85433032dcbf72970e62ca8078c60
golf_side-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,golf_side-120fps.mp4,65ff6aca3b8bac7daef702830959f8d24bdf69676ab8d272a0c6a6d296579870
guitar_focus-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,guitar_focus-120fps.mp4,e2db2a1a6f042d59b6b058ae78ef9dcbfc735e319aebae2b7244240fc8818928
hamster-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,hamster-120fps.mp4,3f071dc1802e65b6706c0bd416ec5344b9af37a61926be3c1b54577f9fcd8330
hamster_crf_0_120fps,120fps,120.0,10.0,1920x1080,vp9,LIVE-YT-HFR,hamster_crf_0_120fps.webm,ffa629752cbcafac947c28feff8ac8f1328f4770c0829cb5b8a12c72b4b79918
hfr_POewRAtKMms,60fps,59.94005994005994,478.561,3840x2160,vp9,YouTube,hfr_POewRAtKMms.mp4,de5ee25da5c91b5b80d40bb134fe62b860dfbd7db16f77a581c7c8974346b76a
hfr_i82xURPkLWo,60fps,59.94005994005994,362.461,3840x2160,av1,YouTube,hfr_i82xURPkLWo.mp4,8509d9f12a0cb23b2d1078daa91d996d755cf9cacc0dc7c10286e699754cb9c3
hobbit1_8Ih7gOE4yew,48-50fps,48.0,7.291667,1920x1038,h264,YouTube,hobbit1_8Ih7gOE4yew.mp4,7675fca55c559e555b48808f1ce1d8739d46c4118c1ed13e396e32b8f3eb68ae
hobbit1_IP00houQBUk,48-50fps,48.0,20.229167,1920x1038,h264,YouTube,hobbit1_IP00houQBUk.mp4,83c05211272d8ddce12b7e6c08828bd96ee61011fc900b02a658ca08347d47bf
hobbit2_7Vp9DlNzPtE,60fps,59.94005994005994,121.888433,1920x1080,h264,YouTube,hobbit2_7Vp9DlNzPtE.mp4,02a3dcfd81532bc464a1709eed2dfa3842dc447e83eea8932a1be633c808ec3c
hobbit2_WOBclebUOUs,48-50fps,48.0,152.5625,1920x800,h264,YouTube,hobbit2_WOBclebUOUs.mp4,66d4b8c281afc0fbcd15e4bdd5da0eb2b0caa45bb64e09f3cace4ca024e62658
hobbit3_2z20slK21tA,60fps,60.0,246.416667,1920x1080,h264,YouTube,hobbit3_2z20slK21tA.mp4,cd2c5d6ddf2ce895c25fd27ac6071ce2894208d53dcec86008ce613a29ff0793
hobbit3_40sMS27Ql_w,48-50fps,47.952047952047955,153.632646,1920x1080,h264,YouTube,hobbit3_40sMS27Ql_w.mp4,13fe992091f0ac7d02a93c0045411c705ff852115498f3fae5610ad0a9c803cc
hobbit3_95JtBmpanis,60fps,60.0,134.716667,1920x800,h264,YouTube,hobbit3_95JtBmpanis.mp4,90e28b6c3a777369562a6e0b35c48b2781a5c8aea8c2bb325770a9fa49eb68cd
hobbit_aVYeS5YJfw0,48-50fps,48.0,48.021333,1920x800,h264,YouTube,hobbit_aVYeS5YJfw0.mp4,22988ea7cfa539dcdd139bedec27d301fc5da50331127e7c55355758140fd13f
hobbit_hDzwDr_SdSg,60fps,60.0,786.281,1280x720,h264,YouTube,hobbit_hDzwDr_SdSg.mp4,ad9473008b01ea82db0da05b27457233660b688a7ad9145a3b18785de7ddf213
hobbit_native_2z20slK21tA,60fps,60.0,246.417,3840x2160,vp9,YouTube,hobbit_native_2z20slK21tA.webm,c209c09fd5a59eb491ee4bdf62b7a0d09b97bed821b7cc65a7cac03d14a34f08
hobbit_native_ElAGnbsQPVE,60fps,59.94006309148265,85.752,3840x2160,vp9,YouTube,hobbit_native_ElAGnbsQPVE.webm,e57ae6c85368a9e8338aa4d34dc48ae6d74c6f72f7619fcd846eef4d78175d07
hobbit_native_iVrjwy0foF4,60fps,59.94006309148265,34.985,3840x2160,vp9,YouTube,hobbit_native_iVrjwy0foF4.webm,e0e2730c3eef5371549e99c126e1af820e966a6d5e2c74ad1460187ab3fc8a39
jackson_s7KIMfFYbi8,48-50fps,47.952047952047955,323.281292,1920x1080,h264,YouTube,jackson_s7KIMfFYbi8.mp4,da6bf80c45a7fc4162682676aea0ae76723e4aeea94e17daf067978d55c3bc0d
jackson_wTYmxqkRLHE,48-50fps,48.0,233.1875,1920x1080,h264,YouTube,jackson_wTYmxqkRLHE.mp4,6fc234e260120f91d285d6923498c51e3f9d52da2dfe79794b097533295988aa
joggers-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,joggers-120fps.mp4,1f8db2afd5ff75cfb73dcbbd740c9da76a5b02f8bf8b5358cb586af0a0f3ea3f
lamppost-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,lamppost-120fps.mp4,1492f993ba68cb06d6ca63cf288394000ee9858a5f994254b9fc9ff81cdb1e5f
lamppost_crf_0_120fps,120fps,120.0,10.0,1920x1080,vp9,LIVE-YT-HFR,lamppost_crf_0_120fps.webm,8a4aa55f1eb0c71084ae5377c5aa251a09e2dc57080d7686abc237277b8c5de7
leaves_crf_0_120fps,120fps,120.0,10.0,1920x1080,vp9,LIVE-YT-HFR,leaves_crf_0_120fps.webm,5d88274b6838f6108fc2505a2bb0bb0bd29686c84a84cd48cfe769c906b864f3
leaves_wall-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,leaves_wall-120fps.mp4,918041d4ed807163965005cb3749c94be9a616ea7fee43ca60fd50bc93eac2f6
library-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,library-120fps.mp4,95f7e179831b534f8d637eb186569e7c9b931662ce8511ec728463384fd126d2
library_crf_0_120fps,120fps,120.0,10.0,1920x1080,vp9,LIVE-YT-HFR,library_crf_0_120fps.webm,3f49db08d3531443ab9571ce9f7e57c416e8f30b23347616222aa15c47d7433b
martial_arts-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,martial_arts-120fps.mp4,9734f07c9c0df1fbe33a09bc880a41c935652ebc0f8e69dbd09e4bf0ed87b135
mlb_DWUkNrMukPc,60fps,59.94005994005994,1178.541,3840x2160,av1,YouTube,mlb_DWUkNrMukPc.mp4,15ccd879723cb8b0086c59b3d6e8d0447a0a8c7478d9daf3730dc27b93da9e12
mlb_J05qAxWq9w0,60fps,59.94005994005994,12818.981,3840x2160,av1,YouTube,mlb_J05qAxWq9w0.mp4,c94f167714021282db4001480bbc9f610a5dc78b8856b16ac6cce06fab68cc52
mlb_JwHZ8FuNp6g,60fps,59.94005994005994,2303.661,1920x1080,av1,YouTube,mlb_JwHZ8FuNp6g.mp4,dcee6d86588b5c1bc654fb82b2dd84bf199a166bd2932279b12887508d4e3536
